Este (m);Norte (m);Cota (m);CuT (%);Fe (%);Mo (%);As (%);Zn (%);CuS (%);RecCu (%);CuCo (%);Wi (kwh/ton);Alteración;Mineralización
1244.9;444.0;1544.3;1.22;0.50;0.011;0.006;0.019;-99.00;94.5;38.4;17.59;Cuarzo-sericita;Alta pirita
1245.3;236.7;1558.9;1.06;1.90;0.154;0.030;0.008;0.11;88.7;29.0;10.93;Cuarzo-sericita;Alta pirita
1245.3;366.2;1542.9;0.94;1.72;0.033;0.017;0.015;0.07;87.0;28.4;14.66;Potásico;Alta pirita
1246.5;331.1;1550.3;1.12;1.73;0.059;0.059;0.054;0.11;89.4;30.4;13.53;Cuarzo-sericita;Alta pirita
1246.5;347.8;1498.9;1.45;2.06;0.106;0.142;0.110;0.08;86.3;30.8;12.33;Potásico;Baja pirita
1247.6;417.8;1457.6;0.51;0.35;0.010;0.004;0.003;0.01;88.5;36.2;16.94;Potásico;Baja pirita
1247.7;408.9;1476.6;1.03;0.56;0.017;0.006;0.003;0.02;88.8;36.5;15.74;Potásico;Baja pirita
1247.9;395.3;1505.6;1.20;1.85;0.023;0.070;0.016;0.02;86.7;29.0;15.26;Cuarzo-sericita;Alta pirita
1248.6;272.4;1591.9;1.18;1.37;0.138;0.074;0.018;0.07;77.8;33.5;12.40;Cuarzo-sericita;Alta pirita
1248.9;504.6;1630.6;0.70;0.90;0.004;0.006;0.012;0.02;89.3;32.0;16.56;Potásico;Baja pirita
1249.1;290.2;1536.2;0.82;0.91;0.159;0.116;0.022;0.09;77.4;34.1;12.18;Potásico;Alta pirita
1249.7;524.7;1587.1;0.75;1.02;0.004;0.006;0.013;0.03;92.7;32.3;17.77;Potásico;Baja pirita
1253.1;353.2;1523.6;0.81;0.90;0.019;0.011;0.008;0.03;85.2;33.7;13.06;Cuarzo-sericita;Alta pirita
1253.3;347.6;1503.3;0.81;0.87;0.032;0.024;0.041;0.02;81.1;33.2;14.44;Cuarzo-sericita;Alta pirita
1254.2;183.4;1668.5;1.15;2.53;0.103;0.134;0.017;0.06;93.4;27.8;12.00;Cuarzo-sericita;Alta pirita
1256.5;177.4;1607.3;1.36;2.19;0.096;0.140;0.032;0.06;84.9;31.3;12.33;Cuarzo-sericita;Alta pirita
1259.2;171.0;1543.2;0.96;1.91;0.104;0.076;0.198;0.06;92.1;28.4;11.98;Cuarzo-sericita;Alta pirita
1264.5;156.9;1413.6;2.04;2.37;0.016;0.047;0.130;0.07;91.3;31.8;14.55;Cuarzo-sericita;Alta pirita
1270.0;147.1;1310.7;1.22;3.42;0.016;0.010;0.085;0.09;83.3;26.8;14.50;Cuarzo-sericita;Alta pirita
1274.5;138.7;1220.2;1.68;2.82;0.026;0.064;0.038;0.06;90.5;29.5;14.26;Potásico;Alta pirita
1277.3;132.2;1146.5;1.93;2.15;0.040;0.038;0.020;-99.00;92.2;31.1;15.34;Cuarzo-sericita;Alta pirita
1280.3;124.7;1061.4;2.32;3.25;0.050;0.099;0.023;0.10;89.1;29.9;14.30;Potásico;Alta pirita
1295.7;397.1;1494.9;0.94;2.01;0.059;0.030;0.019;0.05;71.9;28.0;15.19;Cuarzo-sericita;Alta pirita
1295.8;408.8;1451.5;0.77;3.06;0.029;0.017;0.014;0.04;89.3;25.0;17.23;Potásico;Alta pirita
1297.8;565.7;1600.2;0.45;0.84;0.004;0.006;0.007;0.01;84.2;32.1;15.47;Potásico;Baja pirita
1297.9;340.2;1479.0;0.98;2.59;0.042;0.116;0.026;0.10;88.0;27.8;12.70;Cuarzo-sericita;Alta pirita
1298.0;570.2;1781.0;0.49;0.76;0.034;0.021;0.027;0.02;79.0;31.9;15.20;Potásico;Baja pirita
1298.2;447.2;1488.1;0.64;0.43;0.005;0.007;0.016;0.03;91.4;36.8;17.98;Potásico;Baja pirita
1298.4;211.1;1613.1;1.65;2.05;0.176;0.205;0.030;0.10;87.9;31.7;10.86;Cuarzo-sericita;Alta pirita
1298.5;414.7;1567.2;0.67;0.51;0.012;0.006;0.014;0.02;92.2;35.3;14.68;Potásico;Baja pirita
1299.2;251.8;1580.9;0.80;1.38;0.111;0.064;0.033;0.05;92.7;29.4;11.92;Cuarzo-sericita;Alta pirita
1299.9;170.4;1630.0;1.72;2.52;0.032;0.279;0.015;0.06;91.8;37.2;11.38;Cuarzo-sericita;Alta pirita
1301.2;206.7;1471.4;0.77;2.43;0.131;0.020;0.047;0.06;89.2;25.7;11.67;Potásico;Alta pirita
1301.6;301.0;1555.8;1.64;1.63;0.090;0.081;0.014;0.08;82.0;33.6;12.45;Cuarzo-sericita;Alta pirita
1302.4;184.5;1420.5;1.97;1.35;0.055;0.025;0.140;0.06;93.4;34.5;14.14;Cuarzo-sericita;Alta pirita
1303.7;284.9;1430.9;1.17;0.85;0.087;0.237;0.057;0.03;93.9;34.7;12.57;Cuarzo-sericita;Alta pirita
1329.5;463.2;1432.2;1.20;0.69;0.017;0.035;0.015;0.01;89.7;36.1;16.72;Potásico;Baja pirita
1335.0;561.4;1508.9;0.78;0.56;0.004;0.006;0.006;0.02;94.3;36.1;18.95;Potásico;Baja pirita
1337.0;528.9;1571.4;1.31;0.60;0.015;0.006;0.023;0.03;88.7;37.8;17.21;Potásico;Baja pirita
1342.1;454.0;1309.1;0.63;0.77;0.005;0.006;0.002;-99.00;88.4;31.8;15.49;Potásico;Baja pirita
1344.1;443.4;1338.7;1.68;2.02;0.012;0.056;0.017;0.03;86.0;31.4;15.25;Cuarzo-sericita;Alta pirita
1345.5;469.7;1517.1;0.71;0.79;0.016;0.012;0.009;0.03;91.0;32.0;17.17;Potásico;Baja pirita
1346.3;184.3;1556.3;1.61;1.99;0.044;0.057;0.015;0.07;93.5;31.4;14.54;Cuarzo-sericita;Alta pirita
1346.3;431.8;1371.1;0.60;0.54;0.020;0.043;0.046;0.01;87.7;31.9;15.38;Cuarzo-sericita;Alta pirita
1347.7;424.2;1392.3;0.76;2.75;0.042;0.055;0.015;0.03;86.4;25.0;15.22;Cuarzo-sericita;Alta pirita
1349.5;413.6;1421.9;0.91;1.66;0.050;0.033;0.012;0.02;85.2;29.5;14.73;Potásico;Alta pirita
1350.3;291.5;1568.9;2.62;2.00;0.214;0.134;0.016;0.14;84.0;35.3;12.22;Cuarzo-sericita;Alta pirita
1350.7;406.6;1441.6;0.79;0.91;0.013;0.028;0.019;0.02;85.4;33.4;15.61;Cuarzo-sericita;Alta pirita
1351.0;168.6;1597.0;1.52;2.47;0.030;0.082;0.022;0.06;94.6;29.5;12.67;Potásico;Alta pirita
1351.7;283.3;1521.6;1.40;1.02;0.082;0.030;0.013;0.14;91.2;35.1;11.54;Cuarzo-sericita;Alta pirita
1351.9;399.6;1461.4;1.15;1.26;0.037;0.045;0.029;0.04;82.0;34.7;13.42;Cuarzo-sericita;Alta pirita
1352.4;264.8;1645.6;0.58;1.47;0.076;0.101;0.009;0.03;89.6;27.3;12.07;Cuarzo-sericita;Alta pirita
1353.3;388.9;1491.0;1.08;1.18;0.031;0.067;0.004;0.02;87.9;32.0;12.00;Cuarzo-sericita;Alta pirita
1353.3;258.2;1601.0;0.88;2.81;0.162;0.159;0.013;-99.00;86.7;27.4;12.31;Potásico;Alta pirita
1354.1;183.1;1057.3;1.12;0.92;0.100;0.102;0.045;0.05;89.7;34.5;13.72;Cuarzo-sericita;Alta pirita
1354.2;335.1;1566.2;2.35;0.67;0.121;0.013;0.013;0.17;89.7;40.2;11.51;Cuarzo-sericita;Alta pirita
1354.6;377.5;1523.5;0.89;1.52;0.016;0.091;0.014;0.02;93.9;29.4;12.60;Cuarzo-sericita;Alta pirita
1354.8;190.9;1121.3;1.77;2.05;0.075;0.117;0.188;0.06;90.0;31.9;14.29;Potásico;Alta pirita
1355.1;237.0;1452.6;1.46;2.28;0.117;0.064;0.026;0.08;89.8;30.2;12.23;Potásico;Alta pirita
1355.6;226.7;1380.6;0.48;0.63;0.018;0.012;0.042;0.03;83.1;32.9;12.44;Potásico;Alta pirita
1355.8;403.8;1522.2;1.13;0.85;0.074;0.037;0.017;0.04;86.5;35.4;12.80;Cuarzo-sericita;Alta pirita
1362.1;301.5;1403.3;0.87;1.25;0.073;0.098;0.021;0.07;90.8;30.9;11.58;Cuarzo-sericita;Alta pirita
1366.5;617.1;1578.8;0.38;0.72;0.004;0.006;0.014;0.02;92.1;32.8;15.53;Potásico;Baja pirita
1374.7;360.3;832.3;0.77;1.42;0.042;0.010;0.010;0.04;85.0;28.8;15.83;Cuarzo-sericita;Alta pirita
1384.4;328.1;1063.9;1.22;2.27;0.123;0.268;0.034;0.02;88.2;28.4;13.32;Potásico;Alta pirita
1384.8;691.2;1686.4;0.64;1.21;0.004;0.007;0.014;0.02;90.5;32.0;16.53;Potásico;Baja pirita
1388.0;595.5;1507.4;0.88;0.63;0.004;0.006;0.005;0.04;93.9;36.4;19.77;Potásico;Baja pirita
1390.4;558.9;1612.2;1.32;0.50;0.004;0.006;0.006;0.04;91.0;39.7;18.23;Potásico;Baja pirita
1391.6;552.2;1442.2;0.99;0.61;0.004;0.006;0.007;0.02;83.4;37.1;17.54;Potásico;Baja pirita
1393.1;475.6;1562.3;0.65;0.72;0.016;0.006;0.013;0.02;90.3;32.1;16.07;Potásico;Baja pirita
1393.9;368.0;1440.4;3.00;1.13;0.119;0.156;0.007;0.20;95.6;39.0;12.39;Cuarzo-sericita;Alta pirita
1394.3;302.0;1267.4;2.59;3.95;0.165;0.646;2.147;0.04;95.6;29.5;11.63;Cuarzo-sericita;Alta pirita
1395.1;377.8;1575.0;2.26;0.75;0.098;0.057;0.008;0.32;93.5;38.6;12.37;Potásico;Alta pirita
1396.7;347.3;1516.8;2.00;1.31;0.093;0.052;0.032;0.14;77.3;37.3;12.53;Cuarzo-sericita;Alta pirita
1399.2;289.1;1364.0;1.28;1.08;0.126;0.068;0.007;0.06;93.6;33.1;12.01;Potásico;Alta pirita
1399.3;221.9;1657.2;1.50;4.07;0.029;0.159;0.009;0.06;92.6;27.1;11.94;Cuarzo-sericita;Alta pirita
1400.8;287.3;1571.3;1.78;1.70;0.107;0.338;0.025;0.06;85.4;33.8;12.03;Cuarzo-sericita;Alta pirita
1401.8;200.6;1486.1;1.75;2.67;0.048;0.075;0.012;0.07;94.3;29.9;12.01;Cuarzo-sericita;Alta pirita
1403.8;265.7;1649.3;1.80;3.35;0.118;0.187;0.011;0.06;94.9;29.2;11.82;Cuarzo-sericita;Alta pirita
1404.2;455.3;1479.7;1.06;2.76;0.017;0.044;0.022;0.05;87.1;26.8;15.68;Cuarzo-sericita;Alta pirita
1404.3;227.9;1453.6;2.19;2.19;0.055;0.035;0.015;0.08;90.3;32.9;12.55;Cuarzo-sericita;Alta pirita
1404.9;276.9;1457.5;1.49;1.64;0.095;0.188;0.056;0.04;94.8;31.1;11.50;Cuarzo-sericita;Alta pirita
1406.7;233.8;1605.9;2.59;2.66;0.086;0.195;0.029;0.10;84.4;33.1;12.07;Cuarzo-sericita;Alta pirita
1407.1;623.0;1606.9;1.07;0.65;0.006;0.004;0.014;-99.00;87.7;37.2;17.63;Potásico;Baja pirita
1418.6;243.4;1563.4;1.66;2.54;0.068;0.069;0.004;0.03;92.3;28.4;11.76;Potásico;Alta pirita
1418.7;246.6;1583.1;2.59;2.89;0.076;0.105;0.003;0.05;85.6;30.3;11.65;Cuarzo-sericita;Alta pirita
1418.8;249.9;1602.6;1.81;2.94;0.093;0.112;0.003;0.04;89.8;28.0;11.06;Potásico;Alta pirita
1418.9;253.1;1621.8;2.03;3.28;0.087;0.100;0.007;0.05;90.4;28.2;11.57;Potásico;Alta pirita
1418.9;256.5;1641.6;2.28;2.84;0.128;0.090;0.005;0.07;90.1;30.0;11.41;Potásico;Alta pirita
1441.9;705.7;1660.4;0.54;1.05;0.004;0.006;0.005;0.01;90.7;31.9;15.31;Potásico;Baja pirita
1446.3;357.4;1539.7;2.45;1.20;0.194;0.066;0.021;0.09;89.4;37.9;13.08;Potásico;Alta pirita
1446.6;363.8;1448.4;1.78;0.91;0.126;0.098;0.021;0.11;87.1;37.6;12.08;Cuarzo-sericita;Alta pirita
1447.0;390.4;1550.4;2.77;2.01;0.210;0.116;0.022;0.19;85.7;35.2;12.36;Cuarzo-sericita;Alta pirita
1447.2;274.9;1234.3;0.85;1.60;0.086;0.058;0.033;0.03;92.6;29.0;13.82;Cuarzo-sericita;Alta pirita
1447.5;313.4;1569.6;1.59;1.79;0.144;0.130;0.008;0.07;89.0;33.2;12.12;Cuarzo-sericita;Alta pirita
1447.8;373.9;1315.3;1.62;2.33;0.054;0.102;0.028;0.06;96.0;31.3;12.09;Cuarzo-sericita;Alta pirita
1448.5;202.8;1328.9;1.85;1.72;0.032;0.042;0.153;0.07;82.0;32.2;14.45;Cuarzo-sericita;Alta pirita
1448.5;240.1;1383.4;2.01;2.06;0.054;0.111;0.052;0.07;86.6;32.1;12.15;Potásico;Alta pirita
1448.8;316.6;1494.6;1.42;1.01;0.116;0.036;0.022;0.05;93.7;34.8;11.35;Cuarzo-sericita;Alta pirita
1449.3;209.1;1658.0;1.06;3.57;0.022;0.182;0.026;0.10;92.9;31.0;13.50;Cuarzo-sericita;Alta pirita
1450.9;274.9;1606.6;2.07;2.63;0.081;0.068;0.012;0.08;90.6;31.1;11.39;Cuarzo-sericita;Alta pirita
1451.9;509.0;1456.8;0.69;0.51;0.054;0.007;0.005;0.02;80.4;34.6;16.74;Potásico;Baja pirita
1457.7;214.7;1437.1;1.82;1.84;0.035;0.067;0.034;0.07;92.8;33.0;13.33;Potásico;Alta pirita
1458.4;405.7;1382.0;3.47;1.69;0.070;0.096;0.020;0.15;92.4;37.4;11.41;Cuarzo-sericita;Alta pirita
1459.6;593.4;1502.7;1.10;0.46;0.009;0.006;0.011;0.04;90.8;39.4;17.79;Potásico;Baja pirita
1464.9;435.2;1505.5;2.36;1.37;0.050;0.020;0.004;0.14;86.8;36.3;11.40;Potásico;Alta pirita
1465.3;216.3;1590.0;1.63;2.76;0.027;0.031;0.018;0.03;93.1;29.0;13.47;Cuarzo-sericita;Alta pirita
1465.6;427.7;1485.9;2.56;1.52;0.139;0.094;0.007;0.12;84.3;35.5;12.02;Potásico;Alta pirita
1466.4;420.1;1466.4;2.30;0.72;0.102;0.129;0.004;0.09;91.0;39.1;11.87;Potásico;Alta pirita
1471.4;620.6;1635.0;3.12;0.82;0.007;0.008;0.011;0.03;86.3;40.0;15.40;Potásico;Baja pirita
1494.1;378.1;1306.8;1.74;1.44;0.144;0.127;0.023;0.09;93.3;33.4;12.32;Cuarzo-sericita;Alta pirita
1494.7;376.8;1408.9;3.07;1.98;0.247;0.342;0.016;0.20;90.8;35.8;12.13;Potásico;Alta pirita
1497.0;396.8;1223.4;1.16;2.02;0.017;0.014;0.037;0.04;89.4;29.5;13.29;Potásico;Alta pirita
1498.2;667.1;1670.7;1.57;0.63;0.004;0.006;0.010;0.07;93.9;39.2;16.96;Potásico;Baja pirita
1499.0;519.5;1537.6;0.52;0.94;0.011;0.004;0.016;0.02;85.1;30.4;15.23;Potásico;Baja pirita
1499.8;414.1;1150.5;1.35;1.54;0.049;0.007;0.029;0.04;88.3;32.3;14.45;Potásico;Alta pirita
1499.8;588.0;1538.2;0.94;0.46;0.018;0.006;0.006;-99.00;91.8;38.1;14.24;Potásico;Baja pirita
1499.8;546.6;1608.4;0.65;0.74;0.009;0.006;0.010;-99.00;95.3;32.3;16.78;Potásico;Baja pirita
1500.8;557.3;1469.4;0.54;0.46;0.004;0.013;0.007;0.02;94.3;36.7;15.10;Potásico;Baja pirita
1501.0;277.9;1527.1;1.48;1.95;0.091;0.030;0.015;0.06;92.5;31.0;12.10;Cuarzo-sericita;Alta pirita
1501.9;620.8;1640.5;0.86;0.58;0.005;0.006;0.022;0.05;90.5;37.3;16.12;Potásico;Baja pirita
1502.1;590.3;1412.3;1.11;0.46;0.025;0.010;0.010;0.04;93.6;38.4;16.58;Potásico;Baja pirita
1502.6;435.6;1061.6;0.73;1.24;0.052;0.083;0.102;0.04;89.8;30.0;15.83;Cuarzo-sericita;Alta pirita
1502.6;230.5;1589.4;1.41;3.72;0.025;0.055;0.014;0.08;94.1;26.3;15.19;Cuarzo-sericita;Alta pirita
1503.5;264.9;1346.1;1.75;1.86;0.065;0.130;0.036;0.04;96.1;31.8;12.28;Cuarzo-sericita;Alta pirita
1505.4;679.4;1558.9;0.72;0.60;0.004;0.006;0.024;0.05;90.0;36.6;15.39;Potásico;Baja pirita
1506.0;251.7;1186.2;1.20;1.19;0.148;0.093;0.070;0.06;91.4;32.9;12.98;Potásico;Alta pirita
1507.4;535.9;1271.9;0.78;0.65;0.026;0.003;0.008;0.01;90.6;34.5;15.47;Potásico;Baja pirita
1510.6;481.5;1347.3;0.99;1.44;0.027;0.004;0.033;0.03;80.0;31.0;13.58;Cuarzo-sericita;Alta pirita
1511.2;234.1;1008.6;0.99;1.54;0.080;0.019;0.029;0.07;86.9;30.8;13.85;Cuarzo-sericita;Alta pirita
1512.4;448.2;1393.5;1.90;1.86;0.065;0.292;0.009;0.12;89.0;32.9;13.01;Potásico;Alta pirita
1516.9;378.8;1491.3;1.13;1.02;0.179;0.009;0.007;0.05;94.0;34.1;11.57;Potásico;Alta pirita
1517.6;479.1;1423.1;0.93;1.22;0.006;0.011;0.037;0.05;85.9;31.7;13.34;Potásico;Alta pirita
1517.7;472.1;1459.9;4.38;1.85;0.113;0.017;0.011;0.17;82.4;40.1;13.14;Cuarzo-sericita;Alta pirita
1517.9;468.1;1480.6;3.09;3.32;0.077;0.012;0.008;0.19;80.6;32.3;13.35;Potásico;Alta pirita
1518.0;463.6;1504.1;3.67;1.37;0.064;0.021;0.005;0.10;91.8;37.2;12.72;Cuarzo-sericita;Alta pirita
1520.5;531.7;1198.8;0.53;0.84;0.006;0.003;0.019;0.03;87.8;33.4;15.79;Potásico;Baja pirita
1520.8;715.4;1715.7;0.58;0.86;0.004;0.006;0.010;0.02;91.8;35.3;14.98;Potásico;Baja pirita
1524.7;264.4;1639.3;2.15;3.77;0.027;0.026;0.003;0.06;78.0;29.5;12.70;Cuarzo-sericita;Alta pirita
1524.8;287.1;1622.8;1.73;2.99;0.049;0.059;0.009;0.08;91.0;28.5;11.83;Cuarzo-sericita;Alta pirita
1525.3;228.7;1190.3;1.60;2.52;0.108;0.030;0.020;0.07;88.4;29.8;13.48;Cuarzo-sericita;Alta pirita
1525.5;256.4;1618.2;1.70;4.28;0.042;0.054;0.024;0.05;75.1;27.1;13.82;Cuarzo-sericita;Alta pirita
1526.3;249.0;1598.6;2.67;3.14;0.019;0.102;0.040;0.04;81.9;31.0;14.76;Potásico;Alta pirita
1527.0;241.7;1578.9;2.40;2.99;0.028;0.060;0.019;0.04;82.8;30.5;13.03;Cuarzo-sericita;Alta pirita
1528.4;230.6;1549.5;1.57;3.62;0.021;0.020;0.022;0.04;79.8;27.5;12.98;Cuarzo-sericita;Alta pirita
1528.7;745.1;1669.5;1.45;1.95;0.003;0.003;0.010;0.02;85.6;31.4;17.12;Potásico;Baja pirita
1528.9;487.7;1316.6;0.81;1.76;0.042;0.011;0.023;0.04;81.7;28.0;13.08;Potásico;Alta pirita
1529.3;286.1;1303.2;1.04;1.92;0.078;0.279;0.116;0.03;92.2;28.8;13.18;Potásico;Alta pirita
1529.5;223.1;1529.9;1.94;2.88;0.017;0.015;0.027;0.04;91.9;29.1;11.81;Cuarzo-sericita;Alta pirita
1533.8;331.6;1392.7;0.84;1.49;0.090;0.086;0.078;0.04;90.6;29.7;11.32;Cuarzo-sericita;Alta pirita
1535.7;686.1;1602.2;0.86;1.10;0.004;0.006;0.023;0.09;89.2;32.0;16.53;Potásico;Baja pirita
1536.4;451.1;1429.0;2.75;1.06;0.127;0.090;0.018;0.10;92.5;38.0;13.03;Potásico;Alta pirita
1537.4;643.4;1660.1;2.07;0.81;0.004;0.007;0.028;0.09;91.9;38.6;17.09;Potásico;Baja pirita
1537.8;374.8;1476.0;0.82;2.20;0.124;0.034;0.024;0.06;85.4;26.7;11.49;Cuarzo-sericita;Alta pirita
1541.9;415.8;1543.5;2.11;1.14;0.251;0.024;0.008;0.14;85.0;36.8;12.16;Potásico;Alta pirita
1545.8;621.4;1554.0;1.14;0.44;0.012;0.006;0.010;0.06;93.3;39.8;15.71;Potásico;Baja pirita
1546.1;647.5;1498.3;0.68;0.58;0.004;0.006;0.009;0.04;90.5;36.1;15.73;Potásico;Baja pirita
1546.8;539.8;1551.8;1.00;2.85;0.015;0.013;0.023;0.05;90.8;26.1;14.66;Cuarzo-sericita;Alta pirita
1548.5;294.9;1448.3;1.67;3.87;0.139;0.277;0.254;0.05;95.0;28.2;11.45;Cuarzo-sericita;Alta pirita
1549.3;271.3;1558.9;1.23;5.46;0.057;0.042;0.023;0.14;93.1;24.8;11.83;Cuarzo-sericita;Alta pirita
1561.2;497.7;1455.5;0.85;1.65;0.017;0.006;0.034;0.06;81.0;28.2;16.34;Cuarzo-sericita;Alta pirita
1569.0;777.0;1691.8;1.17;3.30;0.002;0.003;0.009;0.02;86.3;27.5;14.13;Cuarzo-sericita;Baja pirita
1577.2;740.6;1620.0;2.78;1.32;0.004;0.011;0.014;0.05;94.8;37.1;15.94;Potásico;Baja pirita
1597.3;367.7;1227.3;0.72;2.10;0.066;0.069;0.053;0.02;91.8;27.1;13.66;Potásico;Alta pirita
1598.9;452.4;1507.1;3.79;1.20;0.205;0.155;0.024;0.19;92.5;39.5;11.60;Cuarzo-sericita;Alta pirita
1599.2;267.9;1454.6;1.13;4.05;0.011;0.031;0.025;0.06;91.9;25.3;13.79;Cuarzo-sericita;Alta pirita
1599.7;371.2;1600.5;2.02;1.76;0.050;0.096;0.007;0.13;93.6;34.1;11.36;Cuarzo-sericita;Alta pirita
1600.0;389.3;1300.7;0.80;3.35;0.111;0.009;0.107;0.03;87.3;25.1;11.93;Cuarzo-sericita;Alta pirita
1600.4;639.0;1418.9;1.47;0.56;0.023;0.005;0.006;0.02;91.8;38.5;15.48;Potásico;Baja pirita
1602.9;622.0;1565.4;1.57;0.66;0.007;0.006;0.009;0.05;92.2;38.2;14.68;Potásico;Baja pirita
1606.8;302.9;1411.6;1.43;1.83;0.099;0.061;0.014;0.06;96.3;30.5;12.39;Cuarzo-sericita;Alta pirita
1607.2;650.0;1499.2;1.00;0.50;0.006;0.004;0.018;0.04;89.2;37.7;15.28;Potásico;Baja pirita
1611.1;520.8;1504.4;1.11;4.60;0.014;0.006;0.035;0.04;87.3;24.6;14.10;Cuarzo-sericita;Alta pirita
1613.5;583.3;1322.1;0.64;0.43;0.004;0.011;0.005;0.02;90.7;36.7;14.64;Potásico;Baja pirita
1615.2;292.1;1482.1;2.77;2.52;0.041;0.159;0.031;0.06;91.9;32.1;12.57;Potásico;Alta pirita
1616.1;291.6;1503.1;2.93;3.28;0.051;0.141;0.006;0.07;94.1;31.0;12.86;Cuarzo-sericita;Alta pirita
1616.9;291.1;1524.1;2.73;2.60;0.059;0.010;0.005;0.05;87.7;33.4;13.09;Potásico;Alta pirita
1617.6;290.7;1545.1;1.94;3.21;0.069;0.008;0.005;0.05;92.3;29.4;12.48;Cuarzo-sericita;Alta pirita
1618.3;290.2;1566.1;2.09;1.82;0.046;0.018;0.031;0.04;80.7;33.9;14.06;Potásico;Alta pirita
1618.9;289.8;1587.0;2.41;3.22;0.059;0.014;0.005;0.06;91.8;32.6;11.99;Potásico;Alta pirita
1619.5;289.4;1608.0;2.03;5.46;0.116;0.014;0.007;0.06;84.5;26.4;12.37;Cuarzo-sericita;Alta pirita
1621.3;542.8;1259.4;0.78;0.34;0.012;0.006;0.005;0.02;83.6;38.7;14.61;Potásico;Baja pirita
1631.5;504.7;1202.8;0.56;1.06;0.076;0.044;0.019;0.03;87.4;28.6;15.43;Cuarzo-sericita;Alta pirita
1638.3;732.7;1588.8;0.59;0.71;0.004;0.006;0.011;0.01;92.6;35.0;18.53;Potásico;Baja pirita
1640.2;692.6;1631.3;0.99;0.81;0.002;0.003;0.023;0.03;90.1;35.4;17.00;Potásico;Baja pirita
1644.5;460.2;1140.1;0.92;1.74;0.024;0.026;0.056;0.02;90.6;28.4;14.53;Potásico;Alta pirita
1644.9;764.6;1662.9;0.57;0.83;0.002;0.003;0.021;0.03;85.2;32.9;15.69;Potásico;Baja pirita
1645.8;525.6;1463.2;0.78;1.17;0.011;0.006;0.057;0.04;68.5;29.9;14.85;Cuarzo-sericita;Alta pirita
1646.9;547.2;1388.3;0.87;0.67;0.024;0.013;0.019;0.04;91.0;35.7;14.68;Potásico;Baja pirita
1647.3;642.6;1534.7;1.99;0.38;0.007;0.006;0.004;0.05;93.0;41.0;15.98;Potásico;Baja pirita
1647.5;558.4;1559.7;0.72;0.46;0.023;0.006;0.005;0.02;83.5;35.9;14.88;Potásico;Baja pirita
1647.5;274.1;1603.4;0.83;5.36;0.009;0.065;0.041;0.10;82.1;23.4;12.46;Cuarzo-sericita;Alta pirita
1647.9;581.5;1510.9;1.16;0.80;0.011;0.006;0.004;0.04;93.5;34.6;16.12;Potásico;Baja pirita
1649.5;717.0;1435.1;0.56;0.72;0.002;0.003;0.008;0.01;77.3;32.3;15.71;Potásico;Baja pirita
1649.6;630.3;1412.9;1.33;0.43;0.005;0.006;0.012;0.05;91.9;38.9;15.06;Potásico;Baja pirita
1651.1;302.3;1567.5;2.38;0.15;0.040;0.045;0.007;0.10;88.5;31.2;12.23;Cuarzo-sericita;Alta pirita
1652.3;279.2;1518.7;0.88;5.57;0.017;0.072;0.014;0.05;84.3;23.8;13.76;Cuarzo-sericita;Alta pirita
1654.0;389.4;1532.6;1.13;2.92;0.091;0.038;0.018;0.06;87.6;27.8;11.87;Cuarzo-sericita;Alta pirita
1656.2;443.0;1539.4;2.04;0.88;0.103;0.196;0.014;0.11;93.8;38.5;11.52;Cuarzo-sericita;Alta pirita
1657.2;608.6;1639.7;1.70;0.72;0.011;0.011;0.016;0.04;93.0;38.1;16.02;Potásico;Baja pirita
1659.6;401.9;1064.1;1.42;2.12;0.047;0.011;0.015;0.06;79.2;33.3;12.42;Cuarzo-sericita;Alta pirita
1661.2;374.1;1419.9;1.03;1.41;0.044;0.037;0.020;0.08;92.9;31.0;11.23;Cuarzo-sericita;Alta pirita
1664.2;330.0;1343.3;1.28;2.64;0.104;0.155;0.017;0.04;90.9;28.3;12.67;Potásico;Alta pirita
1666.6;304.6;1299.1;1.11;2.15;0.175;0.140;0.021;0.06;91.4;29.1;12.92;Potásico;Alta pirita
1669.6;264.2;1229.0;0.72;0.80;0.107;0.072;0.097;0.03;90.4;30.4;13.71;Potásico;Alta pirita
1672.6;219.3;1151.0;1.08;2.47;0.034;0.011;0.018;0.05;91.0;27.1;14.09;Cuarzo-sericita;Alta pirita
1675.6;396.6;1526.1;0.93;2.28;0.076;0.099;0.010;0.03;91.7;27.3;11.01;Cuarzo-sericita;Alta pirita
1676.8;383.7;1509.6;0.98;3.79;0.048;0.124;0.004;0.04;91.8;25.8;11.06;Cuarzo-sericita;Alta pirita
1677.8;460.6;1561.4;2.63;1.23;0.078;0.015;0.010;0.40;94.3;37.6;11.60;Cuarzo-sericita;Alta pirita
1677.8;370.8;1493.0;1.07;3.24;0.093;0.142;0.036;0.03;92.7;26.8;12.39;Cuarzo-sericita;Alta pirita
1679.0;354.3;1471.7;0.91;2.23;0.074;0.073;0.006;0.03;94.4;26.4;11.88;Cuarzo-sericita;Alta pirita
1679.3;504.9;1426.0;0.98;1.65;0.012;0.011;0.083;0.05;85.1;29.8;13.76;Cuarzo-sericita;Alta pirita
1680.5;336.0;1448.0;1.51;2.78;0.104;0.140;0.161;0.04;94.2;29.0;11.51;Potásico;Alta pirita
